nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
2.61923e-05,1,0,7.18114e-06,-0.0112843,36106.6,0.274169,-0.15999,0,-1.28083e-06,-14.25,0,-3.89167,0,2
2.61922e-05,1,0,7.18119e-06,-0.00621489,36636.4,0.274173,-0.16,-6.16127e-09,1.05534e-18,-14.25,0.225,-4,1,2
2.61922e-05,1,0,7.18118e-06,-0.011983,36106.6,0.274173,-0.16,-2.82139e-09,-1.32734e-06,-15,0.225,-3.89167,2,2
2.61923e-05,1,0,7.18115e-06,-0.0102069,36106.6,0.27417,-0.159988,0,-1.20382e-06,-13.5,0,-3.89167,3,2
2.61923e-05,1,0,7.18124e-06,-0.00525325,36636.4,0.274174,-0.159999,-1.42009e-08,1.05533e-18,-13.5,0.225,-4,4,2
2.61924e-05,1,0,7.18116e-06,-0.0094197,36106.6,0.27417,-0.159981,0,-1.15575e-06,-12.75,0,-3.89167,5,2
2.61923e-05,1,0,7.18128e-06,-0.00464458,36636.4,0.274175,-0.159993,-3.05752e-08,1.05529e-18,-12.75,0.225,-4,6,2
2.61924e-05,1,0,7.18116e-06,-0.00865217,36106.6,0.27417,-0.159976,0,-1.13947e-06,-12,0,-3.89167,7,2
2.61924e-05,1,0,7.1813e-06,-0.00409567,36636.4,0.274175,-0.159989,-6.25241e-08,1.05527e-18,-12,0.225,-4,8,2
2.61924e-05,1,0,7.18117e-06,-0.00795368,36106.6,0.27417,-0.159972,0,-1.16994e-06,-11.25,0,-3.89167,9,2
2.61924e-05,1,0,7.18131e-06,-0.0036494,36636.4,0.274176,-0.159984,-1.26797e-07,1.05523e-18,-11.25,0.225,-4,10,2
2.61923e-05,1,0,7.18116e-06,-0.00729262,36106.6,0.274171,-0.159968,0,-1.25801e-06,-10.5,0,-3.89167,11,2
2.61924e-05,1,0,7.18131e-06,-0.00326708,36636.4,0.274176,-0.159978,-2.60604e-07,1.0552e-18,-10.5,0.225,-4,12,2
2.61922e-05,1,0,7.1811e-06,-0.0066772,36106.6,0.27417,-0.159965,0,-1.38165e-06,-9.75,0,-3.89167,13,2
2.61921e-05,1,0,7.1811e-06,-0.00295122,36636.4,0.27417,-0.159971,-2.44604e-07,1.05515e-18,-9.75,0.1125,-4,14,2
2.61922e-05,1,0,7.18108e-06,-0.00297462,36636.4,0.274169,-0.159972,0,1.05516e-18,-9.75,0,-4,15,2
2.61922e-05,1,0,7.18118e-06,-0.00297298,36636.4,0.274173,-0.159972,-5.0118e-07,1.05515e-18,-9.75,0.225,-4,16,2
2.61923e-05,1,0,7.18113e-06,-0.00326787,36636.4,0.27417,-0.159978,0,1.0552e-18,-10.5,0,-4,17,2
2.6192e-05,1,0,7.18106e-06,-0.00639006,36106.6,0.27417,-0.159963,0,-1.41707e-06,-9.375,0,-3.89167,18,2
2.6192e-05,1,0,7.18108e-06,-0.00287573,36636.4,0.27417,-0.159968,-3.36931e-07,1.05513e-18,-9.375,0.1125,-4,19,2
2.61916e-05,1,0,7.18098e-06,-0.00597114,36106.6,0.274171,-0.159959,0,-1.1713e-06,-8.625,0,-3.89167,20,2
2.61918e-05,1,0,7.18104e-06,-0.00282327,36636.4,0.274171,-0.159963,-5.00746e-07,1.05509e-18,-9,0.1125,-4,21,2
2.61918e-05,1,0,7.18103e-06,-0.00614713,36106.6,0.27417,-0.159961,0,-1.36641e-06,-9,0,-3.89167,22,2
2.61916e-05,1,0,7.181e-06,-0.00281689,36636.4,0.274172,-0.159958,-7.23209e-07,1.05506e-18,-8.625,0.1125,-4,23,2
2.61909e-05,1,0,7.18088e-06,-0.00586268,36106.6,0.274175,-0.159957,0,-8.22215e-08,-7.875,0,-3.89167,24,2
2.61913e-05,1,0,7.18095e-06,-0.00285596,36636.4,0.274173,-0.159953,-1.03052e-06,1.05502e-18,-8.25,0.1125,-4,25,2
2.61913e-05,1,0,7.18093e-06,-0.00599206,36106.6,0.274173,-0.159957,0,-7.59917e-07,-8.25,0,-3.89167,26,2
2.61909e-05,1,0,7.1809e-06,-0.00289955,36636.4,0.274175,-0.159948,-1.45738e-06,1.05499e-18,-7.875,0.1125,-4,27,2
2.61922e-05,1,0,7.18121e-06,-0.00702528,35047,0.274174,-0.160008,-3.94577e-09,-6.1588e-07,-15,0.225,-3.78333,28,2
