nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
3.52071e-05,1,0,9.90106e-06,-2.52611,37584.2,0.281224,-0.219936,0,-1.08048e-05,-14.25,0,-3.89167,0,2
3.52071e-05,1,0,9.90118e-06,-2.47258,38128.3,0.281227,-0.219943,-7.99222e-07,1.45071e-18,-14.25,0.225,-4,1,2
3.5207e-05,1,0,9.90117e-06,-2.53257,37584.2,0.281227,-0.219997,-3.78677e-07,-1.09897e-05,-15,0.225,-3.89167,2,2
3.5207e-05,1,0,9.90107e-06,-2.51693,37584.2,0.281224,-0.219918,0,-1.05647e-05,-13.5,0,-3.89167,3,2
3.52071e-05,1,0,9.9012e-06,-2.46654,38128.3,0.281228,-0.219919,-1.76536e-06,1.45054e-18,-13.5,0.225,-4,4,2
3.52069e-05,1,0,9.90107e-06,-2.51305,37584.2,0.281225,-0.219875,0,-1.00076e-05,-12.75,0,-3.89167,5,2
3.5207e-05,1,0,9.9012e-06,-2.46708,38128.3,0.281228,-0.219861,-3.66354e-06,1.45014e-18,-12.75,0.225,-4,6,2
3.52068e-05,1,0,9.90108e-06,-2.51234,37584.2,0.281226,-0.21985,0,-7.7138e-06,-12,0,-3.89167,7,2
3.52067e-05,1,0,9.90119e-06,-2.47168,38128.3,0.28123,-0.219808,-7.16645e-06,1.44976e-18,-12,0.225,-4,8,2
3.52066e-05,1,0,9.90112e-06,-2.51359,37584.2,0.281229,-0.21984,0,-2.00391e-06,-11.25,0,-3.89167,9,2
3.52064e-05,1,0,9.90121e-06,-2.48212,38128.3,0.281233,-0.219759,-1.32491e-05,1.44938e-18,-11.25,0.225,-4,10,2
3.52062e-05,1,0,9.90116e-06,-2.50777,37584.2,0.281233,-0.219854,0,7.37034e-06,-10.5,0,-3.89167,11,2
3.52058e-05,1,0,9.90119e-06,-2.48793,38128.3,0.281238,-0.219748,-2.00915e-05,1.44924e-18,-10.5,0.225,-4,12,2
3.52053e-05,1,0,9.90103e-06,-2.4913,37584.2,0.281237,-0.21989,0,1.75919e-05,-9.75,0,-3.89167,13,2
3.52051e-05,1,0,9.901e-06,-2.48098,38128.3,0.281237,-0.219795,-1.08848e-05,1.44964e-18,-9.75,0.1125,-4,14,2
3.52053e-05,1,0,9.90099e-06,-2.48194,38128.3,0.281236,-0.219788,0,1.4497e-18,-9.75,0,-4,15,2
3.52042e-05,1,0,9.90088e-06,-2.48181,38128.3,0.281241,-0.219789,-2.35879e-05,1.44948e-18,-9.75,0.225,-4,16,2
3.52062e-05,1,0,9.90111e-06,-2.48769,38128.3,0.281232,-0.219746,0,1.44942e-18,-10.5,0,-4,17,2
3.52047e-05,1,0,9.90092e-06,-2.48094,37584.2,0.281238,-0.219917,0,2.16979e-05,-9.375,0,-3.89167,18,2
3.52046e-05,1,0,9.90092e-06,-2.47635,38128.3,0.281239,-0.219829,-1.11884e-05,1.44986e-18,-9.375,0.1125,-4,19,2
3.52039e-05,1,0,9.90086e-06,-2.46048,37584.2,0.281243,-0.219987,0,2.75731e-05,-8.625,0,-3.89167,20,2
3.52041e-05,1,0,9.90086e-06,-2.46944,38128.3,0.281242,-0.219879,-1.12314e-05,1.45019e-18,-9,0.1125,-4,21,2
