nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
1.38029e-05,1,0,3.46562e-06,-0.0508575,37084.4,0.25108,-0.079999,0,-1.19315e-07,-14.25,0,-3.89167,0,0,2
1.38026e-05,1,0,3.46558e-06,-0.0508789,37628.5,0.251081,-0.079999,-1.63336e-09,5.27664e-19,-14.25,0.225,-4,1,0,2
1.38027e-05,1,0,3.46559e-06,-0.0509061,37084.4,0.251081,-0.0800002,-2.29696e-09,-1.22782e-07,-15,0.225,-3.89167,2,0,2
1.38028e-05,1,0,3.46562e-06,-0.0507666,37084.4,0.25108,-0.0799983,0,-1.12211e-07,-13.5,0,-3.89167,3,0,2
1.38025e-05,1,0,3.46557e-06,-0.0507784,37628.5,0.251083,-0.0799983,-5.02036e-10,5.27659e-19,-13.5,0.225,-4,4,0,2
1.38028e-05,1,0,3.46562e-06,-0.0506792,37084.4,0.25108,-0.0799974,0,-1.02582e-07,-12.75,0,-3.89167,5,0,2
1.38024e-05,1,0,3.46558e-06,-0.0506821,37628.5,0.251085,-0.0799974,6.66228e-10,5.27654e-19,-12.75,0.225,-4,6,0,2
1.38028e-05,1,0,3.46562e-06,-0.0506061,37084.4,0.25108,-0.0799966,0,-8.89849e-08,-12,0,-3.89167,7,0,2
1.38025e-05,1,0,3.46562e-06,-0.0505863,37628.5,0.251087,-0.0799968,1.77448e-09,5.27649e-19,-12,0.225,-4,8,0,2
1.38028e-05,1,0,3.46562e-06,-0.0505606,37084.4,0.251081,-0.0799958,0,-7.0249e-08,-11.25,0,-3.89167,9,0,2
1.38026e-05,1,0,3.46568e-06,-0.0504968,37628.5,0.251089,-0.0799963,3.12151e-09,5.27646e-19,-11.25,0.225,-4,10,0,2
1.38028e-05,1,0,3.46562e-06,-0.0505413,37084.4,0.251081,-0.0799951,0,-4.44224e-08,-10.5,0,-3.89167,11,0,2
