Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
0.000205477,-0.000979017,1,-14.25,0,-0.20116,0,2
9.45594e-05,-0.000552915,1,-14.25,0.225,-0.200979,1,2
0.000132193,-0.000559323,1,-15,0,-0.201006,2,2
3.50608e-05,-0.000312606,1,-15,0.225,-0.200935,3,2
0.000150151,-0.00134126,0.999999,-13.5,0,-0.201373,4,2
0.000123988,-0.00090258,1,-13.5,0.225,-0.201074,5,2
5.35382e-05,-0.00128662,0.999999,-12.75,0,-0.20144,6,2
8.65558e-05,-0.00100145,0.999999,-12.75,0.225,-0.201132,7,2
2.25637e-05,-0.00105602,0.999999,-12,0,-0.201439,8,2
7.21845e-05,-0.000858413,1,-12,0.225,-0.201187,9,2
6.70486e-05,-0.000917889,1,-11.25,0,-0.201443,10,2
8.13471e-05,-0.00067544,1,-11.25,0.225,-0.201234,11,2
-0.000275454,-0.00198036,0.999998,-10.5,0,-0.201513,12,2
-0.000456211,-0.000441969,1,-10.5,0.225,-0.201311,13,2
0.000457099,-0.0034854,0.999994,-9.80257,0.0157722,-0.201752,14,2
0.000239094,-0.00453997,0.99999,-9.75,0,-0.20186,15,2
6.45314e-05,-0.00308252,0.999995,-9.75,0.1125,-0.201431,16,2
0.000412048,-0.00263193,0.999996,-9.79183,0.1125,-0.201394,17,2
-0.000310027,-0.00112729,0.999999,-10.4613,0.213393,-0.20129,18,2
0.000132764,-0.00307017,0.999995,-10.4561,0.0131791,-0.201464,19,2
0.000114918,-0.000263038,1,-9.78613,0.21416,-0.201204,20,2
0.000271447,-0.000967942,0.999999,-9.75,0.225,-0.201214,21,2
-0.000921486,-0.00142421,0.999999,-9.375,0.1125,-0.201172,22,2
-0.00114991,-0.00341232,0.999994,-9.375,0,-0.201533,23,2
-0.000191522,0.000861858,1,-8.625,0.1125,-0.200499,24,2
-0.000745694,0.000834262,0.999999,-9,0.1125,-0.200757,25,2
-0.000228975,-0.000566906,1,-8.625,0,-0.200561,26,2
-0.00123226,-0.00147598,0.999998,-9,0,-0.200826,27,2
0.000516221,-0.00300044,0.999995,-7.875,0.1125,-0.200971,28,2
0.000560713,-0.00119081,0.999999,-8.25,0.1125,-0.200576,29,2
0.000867044,-0.00346044,0.999994,-7.875,0,-0.20143,30,2
0.000840914,-0.00166217,0.999998,-8.25,0,-0.200826,31,2
1.12719e-05,-6.93947e-05,1,-14.25,0.621429,-0.200829,32,2
1.73516e-06,-2.78156e-06,1,-15,0.621429,-0.200838,33,2
4.69122e-05,-0.000133978,1,-13.5,0.621429,-0.200822,34,2
9.13209e-05,-0.000189603,1,-12.75,0.621429,-0.200861,35,2
0.000133008,-0.000182567,1,-12,0.621429,-0.200958,36,2
0.000139253,-0.000116756,1,-11.25,0.621429,-0.20108,37,2
-0.00035705,0.000376481,1,-10.5,0.621429,-0.201193,38,2
0.000807116,-0.000174411,1,-9.78488,0.243435,-0.201163,39,2
0.00109403,0.00037345,0.999999,-9.75,0.423214,-0.201378,40,2
0.00124118,-0.000257553,0.999999,-9.78909,0.423214,-0.201303,41,2
0.000470472,0.000861631,1,-9.78405,0.603431,-0.201135,42,2
0.000616798,-0.000438173,1,-9.75,0.621429,-0.201183,43,2
-0.000483174,0.000278496,1,-10.4657,0.603294,-0.201144,44,2
-0.000495898,-0.00167572,0.999999,-10.4626,0.244745,-0.201245,45,2
0.000148402,0.000231908,1,-9.375,0.423214,-0.201538,46,2
-0.000191006,0.00133068,0.999999,-9.375,0.225,-0.201195,47,2
-0.00101864,0.000115008,0.999999,-8.625,0.423214,-0.201207,48,2
-0.000442174,0.000220393,1,-9,0.423214,-0.201565,49,2
-0.00067526,0.00183092,0.999998,-8.625,0.225,-0.200792,50,2
-0.000460643,0.00255352,0.999997,-9,0.225,-0.201127,51,2
-0.000334394,-0.00207576,0.999998,-7.875,0.423214,-0.200419,52,2
-0.000896778,-0.000526113,0.999999,-8.25,0.423214,-0.200698,53,2
0.000509739,-0.00122803,0.999999,-7.875,0.225,-0.200592,54,2
-0.000228524,-9.63255e-05,1,-8.25,0.225,-0.200508,55,2
3.80013e-05,9.6496e-05,1,-14.25,1.01786,-0.200891,56,2
3.38025e-05,4.66599e-05,1,-15,1.01786,-0.20087,57,2
5.30647e-05,0.000171078,1,-13.5,1.01786,-0.20093,58,2
8.44664e-05,0.000211617,1,-12.75,1.01786,-0.200981,59,2
0.000120309,0.000186113,1,-12,1.01786,-0.201061,60,2
0.000137124,0.000117376,1,-11.25,1.01786,-0.201167,61,2
-0.000162543,0.000359375,1,-10.5,1.01786,-0.201277,62,2
0.000577606,5.45918e-05,1,-9.78461,0.63972,-0.201154,63,2
0.000544602,0.000874481,0.999999,-9.75,0.819643,-0.201305,64,2
0.000675866,0.00103353,0.999999,-9.78783,0.819643,-0.201261,65,2
0.000640551,0.0022794,0.999997,-9.79591,0.99359,-0.20153,66,2
0.000654909,0.000283202,1,-9.75,1.01786,-0.201624,67,2
-0.000195711,0.00103397,0.999999,-10.4629,0.998252,-0.201236,68,2
-0.000187343,-0.000446104,1,-10.4651,0.63986,-0.201162,69,2
-9.72152e-05,0.00108078,0.999999,-9.375,0.819643,-0.201246,70,2
1.34574e-05,-0.000682694,1,-9.375,0.621429,-0.201211,71,2
-0.000748004,0.00176606,0.999998,-8.625,0.819643,-0.200973,72,2
-0.000384662,0.00122563,0.999999,-9,0.819643,-0.201141,73,2
-0.00101132,-0.00069139,0.999999,-8.625,0.621429,-0.200941,74,2
-0.000446286,-0.000906697,0.999999,-9,0.621429,-0.201214,75,2
-0.00164114,0.00143181,0.999998,-7.91381,0.819643,-0.2,76,2
-0.00131453,-0.000475501,0.999999,-8.25,0.621429,-0.200414,77,2
-0.00143233,-0.00150311,0.999998,-7.96154,0.621429,-0.2,78,2
-0.00143645,0.00280045,0.999995,-8.25,0.819643,-0.200589,79,2
5.75251e-05,7.004e-06,1,-14.25,1.41429,-0.200909,80,2
4.24782e-05,-2.10496e-06,1,-15,1.41429,-0.200876,81,2
7.63072e-05,1.90449e-05,1,-13.5,1.41429,-0.200968,82,2
8.93904e-05,2.44952e-05,1,-12.75,1.41429,-0.201034,83,2
9.96325e-05,1.52672e-05,1,-12,1.41429,-0.201112,84,2
0.00010358,-6.00162e-06,1,-11.25,1.41429,-0.201184,85,2
-0.000423212,0.000134143,1,-10.5,1.41429,-0.201247,86,2
0.00109397,-0.00131228,0.999999,-9.7958,1.04207,-0.201527,87,2
0.00100331,-0.00104738,0.999999,-9.75,1.21607,-0.201482,88,2
0.000962717,-0.00107699,0.999999,-9.79226,1.21607,-0.201409,89,2
0.000330315,8.92852e-05,1,-9.78356,1.39655,-0.201119,90,2
0.000500649,-0.000999682,0.999999,-9.75,1.41429,-0.201146,91,2
