nut,yPlus,k,p_rgh,p,omega,U0,U1,U2,Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
2.61958e-05,0,7.18387e-06,6.61325,12.3252,0.274237,-0.159989,0,-1.09484e-05,-2.02656e-06,8.60956e-07,1,-14.25,0,-0.200549,0,2
2.61955e-05,0,7.18392e-06,6.61322,12.3272,0.274243,-0.159989,3.37942e-07,-1.09713e-05,-1.90073e-06,4.80596e-07,1,-14.25,0.225,-0.200549,1,2
2.61959e-05,0,7.18391e-06,6.613,12.3356,0.274238,-0.159998,0,-1.04546e-05,-1.42058e-06,8.27842e-07,1,-15,0,-0.20055,2,2
2.61957e-05,0,7.18394e-06,6.61297,12.3373,0.274241,-0.16,4.28974e-07,-1.04759e-05,-1.45038e-06,4.80894e-07,1,-15,0.225,-0.20055,3,2
2.61958e-05,0,7.18386e-06,6.61349,12.3083,0.274237,-0.159984,0,-1.14484e-05,-5.23196e-07,4.1944e-07,1,-13.5,0,-0.200547,4,2
2.61954e-05,0,7.18392e-06,6.6135,12.3099,0.274244,-0.159984,-2.75438e-08,-1.14456e-05,-1.0199e-06,4.22423e-07,1,-13.5,0.225,-0.200547,5,2
2.61967e-05,0,7.18421e-06,6.61372,12.3123,0.274241,-0.159976,0,-1.12861e-05,-4.4571e-06,-1.12587e-06,1,-12.75,0,-0.200547,6,2
2.6196e-05,0,7.1842e-06,6.61378,12.3118,0.274248,-0.159976,2.08887e-07,-1.12e-05,-3.34448e-06,5.37575e-07,1,-12.75,0.225,-0.200547,7,2
2.62016e-05,0,7.18591e-06,6.61535,12.2652,0.274255,-0.159992,0,-9.57211e-06,-2.15305e-05,-3.79704e-06,1,-12,0,-0.200542,8,2
2.61995e-05,0,7.18552e-06,6.6154,12.2585,0.274262,-0.159991,2.33315e-06,-9.42366e-06,-1.83682e-05,-1.244e-07,1,-12,0.225,-0.200542,9,2
2.62219e-05,0,7.19264e-06,6.61876,12.0546,0.274299,-0.160036,0,-6.23144e-06,-2.65837e-05,-5.58518e-06,1,-11.25,0,-0.200521,10,2
2.62146e-05,0,7.1908e-06,6.61883,12.0426,0.274305,-0.160035,5.92127e-06,-6.06924e-06,-2.85473e-05,-4.09238e-06,1,-11.25,0.225,-0.20052,11,2
2.62977e-05,0,7.21688e-06,6.61889,11.8648,0.27443,-0.160037,0,-6.31274e-06,-0.000666552,-0.00125924,0.999999,-10.5,0,-0.200502,12,2
2.62713e-05,0,7.20969e-06,6.61901,11.8517,0.274432,-0.160037,3.95466e-06,-6.42868e-06,-0.000426923,0.00077149,1,-10.5,0.225,-0.200501,13,2
2.66616e-05,0,7.32862e-06,6.61156,12.4828,0.274873,-0.159906,2.62155e-07,-7.03987e-05,0.000733946,-0.000859416,0.999999,-9.767,0.0051014,-0.200567,14,2
2.66748e-05,0,7.33273e-06,6.60403,12.7635,0.274891,-0.159898,0,-3.26271e-05,0.000548321,-0.00237255,0.999997,-9.75,0,-0.200594,15,2
2.66813e-05,0,7.33599e-06,6.60167,12.9679,0.274947,-0.159876,-1.88641e-06,-3.61487e-05,0.000953665,3.91602e-05,1,-9.75,0.1125,-0.200614,16,2
2.66673e-05,0,7.33159e-06,6.60956,12.6697,0.274926,-0.159885,-1.47754e-06,-7.50209e-05,0.00103428,-2.48865e-05,0.999999,-9.76758,0.1125,-0.200586,17,2
2.62744e-05,0,7.21059e-06,6.62481,11.6413,0.274434,-0.160038,4.00665e-06,-3.93885e-05,-0.000370024,0.00083829,1,-10.4856,0.220675,-0.200481,18,2
